"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","order","seasonal_order","mape","data"
"2025-02-04 01:34:23","5.0s","8ed1c80d18cb43e3a5bc4dfc2f101316","skillful-sloth-206","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.25194377558547565","327"
"2025-02-04 01:34:18","5.1s","d79427c8b96742a3b199e479a9129496","able-ape-694","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.35553523313255897","326"
"2025-02-04 01:34:12","6.1s","81a236747e6d4f3d969ca18822bfde07","upset-jay-488","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.22444942588379985","325"
"2025-02-04 01:34:07","4.8s","60b034dc3fb54760bdf9e8ea868640f1","whimsical-crow-83","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.39253151887572046","324"
"2025-02-04 01:34:02","5.4s","be087089cac542beb5d66204d1a96d92","selective-fish-432","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.21106658160980002","323"
"2025-02-04 01:33:57","4.7s","73774113e2b145ac8b799cf963ec1328","secretive-swan-972","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.31377293984308446","322"
"2025-02-04 01:33:52","4.8s","775df0bde10a4767a4e441ad20793fcd","flawless-wolf-624","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3032493362427029","321"
"2025-02-04 01:33:47","4.7s","d46d51c9af19456fbbb37a5d06ee9cdf","angry-cat-516","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3722816665722361","320"
"2025-02-04 01:33:42","4.9s","bc96be7ff4bb4e2fbc597e78b3176b8a","bemused-wren-908","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3264508175074371","319"
"2025-02-04 01:33:38","4.7s","84b5a22d7516423c99d34e9e32dafb31","angry-shark-313","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2604021645757679","318"
"2025-02-04 01:33:33","4.8s","1a83fd5084c04252846641528ca052a0","shivering-moth-539","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","3005332808253385700","317"
"2025-02-04 01:33:28","4.9s","bdbd31f10c954fbf9d0120a183293d03","flawless-mink-864","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.23443446360237744","316"
"2025-02-04 01:33:24","4.5s","8c9ba8d9fead4b309101f40631a2c116","respected-wasp-46","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","5712844639141340000","315"
"2025-02-04 01:33:19","4.5s","efbcb47da4e149b69e26f5c7a3d22a3a","suave-chimp-715","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2880759140860015","314"
"2025-02-04 01:33:14","4.6s","3e46e36b5e0543b89c84e357d6c31aaf","nosy-newt-569","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.32149937752936864","313"
"2025-02-04 01:33:09","5.1s","fba99c6696ff42ca85c0b40b865619af","valuable-steed-181","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2169208197136247","312"
"2025-02-04 01:33:04","5.4s","7dc3fbc766ad4bcb97ed307257d83ed7","magnificent-croc-707","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2482884870539362","311"
"2025-02-04 01:32:59","4.9s","15890e53ac814fe3a9e321131f86e64a","serious-toad-555","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.4169240176562763","310"
"2025-02-04 01:32:55","3.8s","7d8e7ab7660c49268ed352349a41ed09","flawless-foal-353","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3124296720591279","309"
"2025-02-04 01:32:52","3.6s","a417fa502f4d4e1f94ff0fe5be7477b7","rare-pug-593","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.27215581794692745","308"
"2025-02-04 01:32:48","3.7s","599f3404a8f5443685a180ef5b58b2b3","carefree-robin-563","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.35885692590504975","307"
"2025-02-04 01:32:44","4.2s","4fcf68505f7742028df8cc62e6271e45","respected-hawk-855","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2907106625939771","306"
"2025-02-04 01:32:40","3.9s","bdc252281a7d4b5996adc9132f129e64","invincible-pug-798","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.33608895789829724","305"
"2025-02-04 01:32:36","3.9s","fb8fe0d4ef4b48c19cd71f4b25033315","spiffy-sheep-60","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.4183544188404165","304"
"2025-02-04 01:32:32","4.2s","48b350f6427840198ba2465110624650","victorious-moose-861","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2293716531150262","303"
"2025-02-04 01:32:28","4.0s","e0b0aaca111a49efa132ae8e85bac3d6","hilarious-squid-28","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2936168178861051","302"
"2025-02-04 01:32:23","4.2s","e7389d52849748c08c2cf76280f8dfe7","useful-worm-952","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2540224250232375","301"
"2025-02-04 01:32:19","4.5s","4004a89a3e5048038bba5badc5b3c69e","gregarious-zebra-634","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.339756907360447","300"
"2025-02-04 01:32:14","4.6s","985d8c57570e47eb9eb3773f023e93dd","judicious-snake-961","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.31517602228957675","299"
"2025-02-04 01:32:10","4.3s","bab5024fb5c44e1981db54183fbe798c","gregarious-sheep-951","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.275011560275613","298"
"2025-02-04 01:32:04","6.2s","3b54475fcbf44089b648e1f327f7c808","learned-moth-744","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3063135320275734","297"
"2025-02-04 01:31:59","5.2s","cd43b75cb093409e8aca0a9b907e9c47","judicious-swan-710","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.21288874826768284","296"
"2025-02-04 01:31:54","5.1s","b0ff0c52bbd242cfa816d447233ca7e7","nervous-crane-447","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2890367430984054","295"
"2025-02-04 01:31:49","4.8s","761751995b7a4cbb84fe3ba489d188c7","intelligent-owl-776","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2861611578156688","294"
"2025-02-04 01:31:44","4.5s","bdf870073ade4a4aa6ad063a11fe912f","able-tern-202","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.37937209587739457","293"
"2025-02-04 01:31:33","11.2s","8ae2b3a41a274ae588fe254620c7ad22","judicious-toad-420","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.24930045416653726","292"
"2025-02-04 01:31:20","12.6s","bef47d966637467bb3d5d44d95f6fe23","intrigued-worm-468","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.16059222305127194","291"
"2025-02-04 01:31:12","8.1s","06b9cc56a8db4fa5ad4036c6bf1a63ad","agreeable-bug-523","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.22162101783574015","290"
"2025-02-04 01:31:04","8.5s","e949cbeb78fa479dae47fe00bffa3146","dashing-bird-623","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.3305937804655771","289"
